masked_fivegram,training_document_frequency,training_document_pct,countries_present
org to buy items to,42639,3.238377,5
loan through org to purchase,42353,3.216656,8
years in the future name,41275,3.134783,5
hard to support her family,41065,3.118834,22
canned goods personal care products,40194,3.052683,3
name runs general store in,38755,2.943392,5
name is married woman with,38435,2.919089,24
for amt years in the,38154,2.897747,18
amt years in the future,38070,2.891368,12
business for amt years in,37957,2.882785,19
etc to sell in her,37322,2.834558,9
to provide for her family,37055,2.81428,36
amt years old she is,36752,2.791267,36
amt year old married woman,35997,2.733926,36
years old married and has,35581,2.702331,39
buy items to sell like,35572,2.701648,5
reducing health and hazard risks,35415,2.689724,3
name is aware that by,34964,2.655471,3
name works very hard to,34917,2.651901,18
she runs general store in,34751,2.639294,12
children she is married and,34390,2.611876,23
for the past amt years,34255,2.601623,34
to support her family she,34073,2.587801,35
to sell in her store,33358,2.533497,29
in the past from org,33114,2.514966,3
she is very hardworking entrepreneur,32173,2.443498,6
to sell name has been,31798,2.415017,10
business activities through her past,31473,2.390334,5
loan will be used to,30977,2.352663,35
times in the past from,29855,2.267449,4
to sell like canned goods,29547,2.244057,3
years now and has borrowed,29279,2.223702,4
through org to invest in,29052,2.206462,4
is amt year old woman,29011,2.203348,39
can afford to send her,28991,2.201829,7
she can afford to send,28978,2.200842,6
she is very hard working,27979,2.124969,22
is very hard working entrepreneur,27870,2.116691,6
amt years old and lives,27836,2.114108,40
activities through her own efforts,27708,2.104387,3
business activities through her own,27695,2.1034,3
is in the agricultural business,27423,2.082742,5
hard to provide for her,27205,2.066185,25
enough money so she can,26703,2.028058,9
to provide for them name,26681,2.026388,9
name is in the agricultural,26286,1.996388,4
with the help of the,26232,1.992287,30
the loan will be used,26054,1.978768,32
so she can afford to,25958,1.971477,12
provide for them name runs,25952,1.971021,5
money so she can afford,25925,1.96897,5
name is hardworking entrepreneur who,25917,1.968363,10
toilet she is reducing health,25564,1.941553,3
for her family name is,25548,1.940338,25
is very hardworking entrepreneur name,25497,1.936464,3
to her family and neighbors,25379,1.927502,5
and neighbors as well as,25320,1.923021,4
family and neighbors as well,25313,1.92249,3
loan through org to invest,25304,1.921806,3
her family and neighbors as,25300,1.921502,6
risks to her family and,25154,1.910414,3
efforts with the help of,25047,1.902287,3
neighbors as well as promoting,24990,1.897958,3
is hardworking entrepreneur who has,24873,1.889072,7
she works very hard to,24824,1.885351,27
children she is very hardworking,24765,1.88087,18
food vending business in the,24739,1.878895,3
and sells variety of items,24629,1.870541,8
her business to secure the,24613,1.869326,6
name requested amt org loan,24522,1.862414,6
business for amt years now,24263,1.842744,24
years and sells variety of,24192,1.837351,4
business name has been in,24056,1.827022,10
has requested loan of amt,24034,1.825351,21
sell in her store name,23969,1.820415,11
org to buy feed and,23925,1.817073,5
them name runs general store,23884,1.813959,3
for them name runs general,23871,1.812972,3
business to secure the future,23860,1.812136,6
the help of the loans,23826,1.809554,9
help of the loans from,23805,1.807959,3
of the loans from org,23797,1.807352,3
org to buy additional items,23740,1.803022,3
will use this loan to,23588,1.791478,36
expand her business to secure,23551,1.788668,6
feed and other supplies to,23268,1.767175,3
years old and lives in,23251,1.765884,34
to build and expand her,22775,1.729732,9
build and expand her business,22770,1.729352,9
and expand her business to,22667,1.721529,23
business for amt years and,22412,1.702163,28
school name works very hard,22245,1.689479,6
in school name works very,22138,1.681353,5
the loans from org she,22038,1.673758,6
loan through org to build,22031,1.673226,3
sell name has been in,21880,1.661758,8
toilet for her family name,21803,1.65591,3
to buy feed and other,21751,1.65196,6
buy feed and other supplies,21745,1.651505,3
years old she is married,21739,1.651049,36
is seeking loan to buy,21734,1.650669,27
very hard working entrepreneur name,21728,1.650214,4
will be used to buy,21583,1.639201,35
she is reducing health and,21550,1.636695,3
name is seeking loan to,21409,1.625986,27
is reducing health and hazard,21369,1.622948,3
in her store name has,21368,1.622872,6
to save enough money to,20803,1.579961,28
her store name has been,20767,1.577227,3
enough to secure the future,20747,1.575708,3
to support her family in,20680,1.570619,23
loan of amt org to,20607,1.565075,26
entrepreneur name is amt years,20423,1.551101,5
children she is very hard,20415,1.550493,13
she is asking for loan,20031,1.521329,34
her business in the future,19965,1.516316,33
hopes that in the future,19730,1.498468,18
to take care of her,19645,1.492012,37
to provide for them she,19611,1.48943,13
for amt years now and,19529,1.483202,27
in rural village in loc,19359,1.470291,7
org to buy items like,19338,1.468696,3
it in the future name,19195,1.457836,5
loc the loan will be,19110,1.45138,7
access to high quality inputs,19068,1.44819,4
amt times in the past,19014,1.444089,3
provide for them she runs,18951,1.439304,4
lives in rural village in,18884,1.434216,10
she requested amt org loan,18870,1.433152,5
and married with three children,18763,1.425026,32
in the future she will,18748,1.423886,27
her hard work will help,18713,1.421228,6
is requesting loan to buy,18709,1.420924,40
org loc the loan will,18599,1.41257,6
would like to build and,18550,1.408849,9
that her hard work will,18532,1.407482,8
hard work will help her,18523,1.406798,7
hopes that her hard work,18516,1.406266,8
that in the future she,18507,1.405583,25
old and married with three,18455,1.401634,31
support her family she is,18428,1.399583,25
name is married and has,18196,1.381963,30
this business for five years,18041,1.370191,30
her business name has been,17976,1.365254,21
lives in the town of,17942,1.362672,15
to sell in her general,17917,1.360773,9
sell in her general store,17912,1.360393,9
to save enough to secure,17760,1.348849,4
amt years now and has,17743,1.347558,17
loc she is married and,17727,1.346343,29
she has been able to,17722,1.345963,34
old and lives in the,17642,1.339887,27
she hopes that her hard,17618,1.338064,8
the future she will be,17587,1.33571,16
amt years old and is,17571,1.334495,38
take care of her family,17563,1.333887,34
has applied for loan of,17511,1.329938,17
name has requested loan of,17459,1.325989,13
provide for her family she,17452,1.325457,35
send her children to school,17393,1.320976,31
work will help her attain,17311,1.314748,6
will help her attain her,17301,1.313989,7
use this loan to buy,17291,1.313229,34
in the town of loc,17269,1.311558,23
help her attain her dream,17250,1.310115,6
in this business for five,17214,1.307381,29
years in the future she,17214,1.307381,11
she has applied for loan,17103,1.298951,26
business for amt years she,17075,1.296824,28
variety of items in the,17044,1.29447,8
of items in the future,16995,1.290748,4
sells variety of items in,16961,1.288166,6
married and has two children,16933,1.28604,36
like to build and expand,16929,1.285736,5
requested loan of amt org,16887,1.282546,22
amt year old name from,16883,1.282242,11
loc she requested amt org,16879,1.281938,3
married and has three children,16796,1.275635,38
to help expand her business,16782,1.274571,15
use the profits from this,16716,1.269559,15
and lives in the town,16672,1.266217,12
has been working hard to,16664,1.265609,19
been working hard to manage,16581,1.259306,6
years she would like to,16570,1.25847,22
her dream to save enough,16563,1.257939,6
for her food production business,16557,1.257483,3
from org loc the loan,16524,1.254977,3
income from this loan will,16517,1.254445,17
name aspires to save enough,16464,1.25042,5
the extra income from this,16426,1.247534,11
extra income from this loan,16423,1.247306,11
working hard to manage her,16362,1.242673,6
future she will be able,16310,1.238724,15
this business for the past,16193,1.229838,27
is amt year old entrepreneur,16148,1.22642,23
and married with two children,16099,1.222698,35
in the loc she is,15926,1.209559,3
old and married with two,15853,1.204015,35
that the extra income from,15840,1.203028,9
for loan of amt org,15821,1.201585,23
business name has requested loan,15809,1.200673,18
through org to buy ingredients,15761,1.197028,4
her business name has requested,15746,1.195888,16
says that the extra income,15621,1.186395,7
store name has been in,15599,1.184724,7
in this business for the,15554,1.181306,25
from this loan will help,15541,1.180319,19
loan to buy farm inputs,15491,1.176522,12
works hard to provide for,15452,1.17356,22
and married with four children,15380,1.168091,33
amt year old woman who,15379,1.168015,36
for amt years and sells,15355,1.166192,14
in the loc she has,15332,1.164446,6
amt year old entrepreneur who,15329,1.164218,20
he is amt years old,15305,1.162395,34
the town of loc in,15183,1.153129,14
amt years and sells variety,15106,1.147281,4
the loc area of loc,15080,1.145307,10
loc she is borrowing amt,15060,1.143788,3
town of loc in the,15055,1.143408,9
have access to high quality,15054,1.143332,5
to buy feeds and other,15052,1.14318,3
loan to further build her,15046,1.142724,4
old and married with four,15011,1.140066,32
expects higher profits this season,14955,1.135813,3
buy farm inputs such as,14954,1.135737,9
items in the future name,14887,1.130648,3
higher profits this season which,14844,1.127383,3
is asking for loan to,14827,1.126092,35
of amt acres of land,14808,1.124649,3
in the amount of amt,14800,1.124041,20
children name works hard to,14771,1.121838,12
to buy farm inputs such,14703,1.116674,9
to have access to high,14688,1.115535,3
excited to have access to,14654,1.112952,3
which she will use to,14632,1.111282,38
expand her business name has,14605,1.109231,19
is excited to have access,14595,1.108471,3
married and has amt children,14576,1.107028,36
amt org through org to,14561,1.105889,6
school name is in the,14559,1.105737,12
this is amt year old,14543,1.104522,16
name expects higher profits this,14541,1.10437,3
in school name is in,14528,1.103383,9
children who are in school,14503,1.101484,31
in her general store name,14500,1.101256,5
is amt year old name,14487,1.100269,17
help expand her business name,14420,1.09518,9
hopes to invest back into,14368,1.091231,3
of whom are in school,14284,1.084851,30
them she runs general store,14063,1.068067,3
for them she runs general,14059,1.067763,3
the attainment of her dream,13990,1.062522,5
name has been working hard,13955,1.059864,12
name hopes that in the,13948,1.059333,10
name is member of org,13943,1.058953,6
her attain her dream to,13753,1.044523,3
amt years old and single,13745,1.043915,35
tirelessly toward the attainment of,13733,1.043004,7
for more than amt years,13705,1.040877,31
toward the attainment of her,13686,1.039434,6
is working tirelessly toward the,13635,1.035561,7
working tirelessly toward the attainment,13595,1.032523,7
her family she is married,13535,1.027966,23
and requested amt org loan,13530,1.027586,3
business for the past amt,13405,1.018093,30
pay school fees for her,13331,1.012472,31
she plans to use the,13323,1.011865,30
group of amt farmers in,13284,1.008903,3
as well as promoting environmental,13191,1.001839,3
well as promoting environmental protection,13177,1.000776,3
school fees for her children,13124,0.996751,31
and her family will be,13121,0.996523,11
loan of amt loc shillings,13073,0.992878,3
to buy ingredients for her,13042,0.990523,11
married and the mother of,13039,0.990295,36
successfully repaid her previous loan,12860,0.9767,14
name is asking for loan,12792,0.971536,32
pigs name has been in,12767,0.969637,4
the past amt years name,12765,0.969485,25
for the future are to,12757,0.968878,25
for more information on the,12739,0.967511,5
hopes and dreams for the,12716,0.965764,14
also earns additional income from,12707,0.96508,8
that one day she will,12681,0.963106,19
been able to consistently feed,12657,0.961283,5
and dreams for the future,12655,0.961131,13
to pay school fees for,12654,0.961055,30
is amt year old mother,12630,0.959232,34
for her family she runs,12627,0.959004,17
has been able to consistently,12601,0.95703,6
org to buy ingredients for,12585,0.955815,5
day she will be able,12546,0.952853,17
one day she will be,12543,0.952625,17
dreams that one day she,12535,0.952017,11
years name has been working,12500,0.949359,16
to support her family name,12489,0.948523,30
support her family she has,12476,0.947536,31
will be able to save,12444,0.945106,28
year old name from loc,12438,0.94465,10
dreams for the future are,12402,0.941916,13
attainment of her dream to,12328,0.936296,5
with this loan the group,12317,0.93546,5
name dreams that one day,12313,0.935157,9
this loan the group will,12304,0.934473,3
is biomass and solar powered,12293,0.933638,4
her previous loan and now,12288,0.933258,9
aspires to save enough to,12247,0.930144,4
this loan will help her,12237,0.929384,36
for her family she is,12230,0.928853,33
solar powered for more information,12184,0.925359,4
and solar powered for more,12178,0.924903,4
biomass and solar powered for,12174,0.9246,4
requested loan of amt loc,12174,0.9246,9
married woman with three children,12112,0.919891,31
name is requesting loan to,12109,0.919663,38
this business for three years,12098,0.918828,31
name is excited to have,12095,0.9186,5
provide for her family name,12090,0.91822,24
she is working tirelessly toward,12082,0.917612,6
she is requesting loan to,12068,0.916549,37
help name to generate greater,12067,0.916473,5
the health of her family,12054,0.915486,13
powered for more information on,12045,0.914802,4
buy ingredients for her food,12036,0.914119,6
repaid her previous loan and,12034,0.913967,13
to expand her business and,12028,0.913511,36
name to generate greater profits,12027,0.913435,5
she likes her business because,12027,0.913435,9
plans to use the profits,12013,0.912372,25
will help name to generate,11988,0.910473,7
use this loan to purchase,11954,0.907891,32
married and has four children,11904,0.904093,36
her village there is no,11869,0.901435,5
in her village there is,11867,0.901283,6
her family in her village,11845,0.899613,3
is married and has two,11839,0.899157,36
her family save money on,11837,0.899005,4
loc in addition to farming,11826,0.898169,4
name will be able to,11820,0.897714,31
and now she has requested,11792,0.895587,7
is grateful to kiva and,11791,0.895511,14
greetings from loc this is,11757,0.892929,7
from org before this loan,11729,0.890802,3
is amt years old he,11725,0.890499,35
for her family she has,11723,0.890347,31
support her family in her,11721,0.890195,6
for charging their mobile devices,11671,0.886397,4
to use the profits from,11670,0.886321,20
old she is married and,11658,0.88541,34
previous loan and now she,11647,0.884575,4
electricity for charging their mobile,11625,0.882904,4
solar electricity for charging their,11616,0.88222,4
access solar electricity for charging,11600,0.881005,4
her business to secure her,11599,0.880929,5
business to secure her family,11589,0.88017,4
and also earns additional income,11523,0.875157,6
of amt farmers in loc,11517,0.874701,3
with three children she is,11517,0.874701,28
is seeking this loan to,11443,0.869081,20
loan and now she has,11442,0.869005,5
loan through org loc to,11442,0.869005,6
org through org to buy,11439,0.868777,5
every month on fuel and,11432,0.868246,4
seeds and fertilizer to plant,11388,0.864904,6
business for amt years name,11352,0.86217,22
in this business for three,11350,0.862018,28
loans from org before this,11346,0.861714,3
loan in the amount of,11340,0.861258,18
this loan will help to,11334,0.860803,29
children between the ages of,11332,0.860651,20
through org to buy more,11323,0.859967,8
attain her dream to save,11316,0.859436,3
loan she will be able,11272,0.856094,36
school she works very hard,11262,0.855334,7
in the loc area of,11221,0.852221,11
likes her business because it,11206,0.851081,9
years old and married she,11202,0.850777,35
in the loc and has,11174,0.848651,3
she is seeking loan to,11166,0.848043,27
of amt org to buy,11151,0.846904,20
she successfully repaid her previous,11101,0.843107,11
name would like to build,11097,0.842803,17
another loan to further build,11066,0.840448,3
in school she works very,11027,0.837486,5
the health of their families,11025,0.837335,5
she has been running the,11022,0.837107,22
requested another loan to further,10993,0.834904,5
org before this loan she,10991,0.834752,4
help them access solar electricity,10974,0.833461,4
any time for free the,10971,0.833233,4
she will use this loan,10962,0.83255,33
time for free the org,10929,0.830043,4
requested this loan through org,10914,0.828904,4
years old and has two,10860,0.824803,29
will be used to purchase,10846,0.82374,30
years now in the future,10844,0.823588,4
will be able to buy,10843,0.823512,33
this loan through org loc,10835,0.822904,4
she has been sustaining her,10834,0.822828,6
has requested another loan to,10815,0.821385,16
through org loc to purchase,10795,0.819866,5
month on fuel and also,10765,0.817588,4
from loc this is amt,10755,0.816828,5
between the ages of amt,10753,0.816677,21
devices any time for free,10741,0.815765,4
mobile devices any time for,10741,0.815765,4
three children she is very,10725,0.81455,20
amt and amt years old,10715,0.81379,29
through org in order to,10672,0.810525,8
their mobile devices any time,10670,0.810373,4
applied for loan of amt,10657,0.809385,20
woman with three children she,10627,0.807107,24
for loan of org amt,10588,0.804145,14
business name has been sustaining,10516,0.798677,4
build and develop her business,10510,0.798221,3
support her family name is,10502,0.797613,26
lives with her husband and,10489,0.796626,34
to build and develop her,10486,0.796398,3
amt years name has been,10477,0.795715,25
and develop her business to,10461,0.794499,7
amt year old mother of,10459,0.794348,34
them access solar electricity for,10457,0.794196,4
has been involved in this,10455,0.794044,25
she would like to build,10442,0.793056,27
be used to buy more,10438,0.792753,25
her livestock name has been,10436,0.792601,4
is married woman and has,10429,0.792069,21
is married and has three,10404,0.79017,36
is amt year old man,10396,0.789563,37
loan of org amt from,10395,0.789487,12
and other groceries name has,10392,0.789259,5
region of loc she is,10389,0.789031,13
and married with five children,10374,0.787892,28
amt years she would like,10370,0.787588,15
seeking this loan to buy,10370,0.787588,17
married woman with two children,10366,0.787284,30
be able to save enough,10359,0.786753,12
of her dream to save,10358,0.786677,4
aspires to save enough money,10348,0.785917,3
her family will be thankful,10275,0.780373,7
for amt years she would,10269,0.779917,11
of loc she is married,10253,0.778702,24
with two children she is,10237,0.777487,29
she has been involved in,10235,0.777335,26
is married and has amt,10217,0.775968,35
more information on the org,10216,0.775892,4
charging their mobile devices any,10171,0.772474,4
old and married with five,10171,0.772474,27
been involved in this business,10155,0.771259,22
through kiva field partner org,10154,0.771183,23
old and has two children,10149,0.770803,29
org loc to purchase more,10138,0.769968,5
this loan she has been,10136,0.769816,12
will be using the loan,10127,0.769133,12
be using the loan to,10113,0.768069,13
and kiva for their support,10096,0.766778,11
sacks of rice to sell,10093,0.76655,6
years old and is married,10055,0.763664,37
is married woman with three,10054,0.763588,26
involved in this business for,10048,0.763133,20
amt years old he is,10042,0.762677,34
before this loan she has,10032,0.761917,5
loan she has been running,9979,0.757892,7
in loc loc she is,9975,0.757588,21
boxes of fish to sell,9949,0.755614,5
children she works very hard,9944,0.755234,13
loc this is amt year,9942,0.755082,5
she has requested another loan,9939,0.754854,13
has been raising pigs for,9883,0.750601,12
now she has requested another,9870,0.749614,7
year old married woman with,9863,0.749082,33
also help them access solar,9857,0.748626,4
years old and has three,9846,0.747791,31
hard working entrepreneur name has,9834,0.74688,3
woman with two children she,9815,0.745437,27
married woman with four children,9801,0.744373,29
for her family name runs,9773,0.742247,8
with four children she is,9755,0.74088,28
applied for loan of org,9754,0.740804,8
to use this loan to,9704,0.737006,36
family will be thankful to,9687,0.735715,8
to represent her group because,9682,0.735335,3
on fuel and also help,9669,0.734348,4
in their village there is,9646,0.732601,3
she would like to expand,9587,0.72812,28
name says that the extra,9575,0.727209,6
fuel and also help them,9562,0.726222,4
she works hard to provide,9559,0.725994,18
children two of whom are,9554,0.725614,30
seeking loan to buy farm,9506,0.721968,6
and also help them access,9505,0.721893,4
to buy additional boxes of,9478,0.719842,4
she is married woman and,9475,0.719614,21
to increase her business name,9465,0.718855,13
with this loan she will,9464,0.718779,35
lives with her family in,9446,0.717412,34
to her customers around the,9428,0.716044,4
groceries name has been in,9416,0.715133,5
has two children who are,9412,0.714829,33
old and has three children,9392,0.71331,31
two children she is very,9317,0.707614,17
in school for the past,9316,0.707538,18
other groceries name has been,9312,0.707234,3
the profits from this season,9297,0.706095,7
of amt org through org,9286,0.70526,10
org in order to buy,9257,0.703057,20
dream to save enough money,9256,0.702981,7
says thanks to org and,9247,0.702298,3
to sell she has been,9229,0.700931,20
visit www loc ncleanenergy com,9229,0.700931,3
her customers around the community,9200,0.698728,4
loc she is amt years,9178,0.697057,32
he will be able to,9156,0.695386,36
business name says that the,9155,0.69531,5
in the loc name is,9135,0.693791,3
four children she is very,9131,0.693488,12
married with three children she,9127,0.693184,32
year old woman who lives,9127,0.693184,31
is located in good area,9101,0.691209,10
business is located in good,9097,0.690905,9
children name works very hard,9037,0.686349,9
family she runs general store,9028,0.685665,7
community she has been in,9023,0.685285,14
ages of amt and amt,9001,0.683614,21
located in good area and,8997,0.683311,7
the ages of amt and,8988,0.682627,21
children she runs general store,8985,0.682399,6
her family she runs general,8973,0.681488,7
customers around the community she,8953,0.679969,4
asking for loan to buy,8941,0.679057,31
and has two children who,8930,0.678222,31
please visit www loc ncleanenergy,8925,0.677842,3
are still in school name,8883,0.674652,21
she says thanks to org,8853,0.672374,4
woman with four children she,8848,0.671994,25
the community she has been,8846,0.671842,10
loan will enable her to,8819,0.669792,33
been running the general store,8809,0.669032,5
has been running the general,8797,0.668121,5
running the general store for,8792,0.667741,5
her hopes and dreams for,8785,0.667209,8
using the loan to purchase,8776,0.666526,13
rice to support her family,8732,0.663184,6
three children she is married,8730,0.663032,16
this business for four years,8704,0.661058,29
for the future is to,8682,0.659387,27
increase her business name says,8663,0.657944,3
www loc ncleanenergy com and,8656,0.657412,3
org and kiva for their,8641,0.656273,8
also earns an income from,8639,0.656121,8
runs retail business and sells,8636,0.655893,3
her business name says that,8633,0.655665,8
she is grateful to kiva,8631,0.655513,18
cookstove is biomass and solar,8625,0.655058,4
currently in school for the,8620,0.654678,5
information on the org one,8620,0.654678,4
still in school name works,8617,0.65445,6
sell name would like to,8616,0.654374,7
business in the future name,8615,0.654298,20
to sell name would like,8606,0.653615,8
for free the org one,8592,0.652551,4
spend every month on fuel,8586,0.652096,4
loc ncleanenergy com and facebook,8567,0.650653,3
ncleanenergy com and facebook loc,8554,0.649665,3
she requested this loan through,8535,0.648222,3
save the money they spend,8534,0.648146,4
the social interest on her,8533,0.64807,5
around the community she has,8530,0.647843,4
they spend every month on,8511,0.646399,4
money they spend every month,8496,0.64526,4
loc name is borrowing amt,8481,0.644121,3
loan of amt org through,8475,0.643665,14
name runs retail business and,8457,0.642298,4
clean cookstove is biomass and,8449,0.641691,4
loan through kiva field partner,8428,0.640096,26
the money they spend every,8428,0.640096,4
repay the social interest on,8427,0.64002,5
this business for two years,8412,0.638881,29
is married woman with two,8385,0.63683,25
and will help name to,8358,0.634779,3
past amt years name has,8343,0.63364,20
her general store name has,8301,0.63045,7
is requesting this loan to,8291,0.629691,32
org to request loan to,8265,0.627716,7
to further build her business,8265,0.627716,5
to org and kiva for,8255,0.626957,9
in the future she wants,8253,0.626805,29
in this business for four,8208,0.623387,27
year old entrepreneur who lives,8207,0.623311,14
enough money to expand her,8193,0.622248,8
children name is in the,8188,0.621868,11
entrepreneur who lives with her,8179,0.621185,14
in her business name has,8154,0.619286,13
general store name has been,8137,0.617995,5
the quality of his harvest,8133,0.617691,9
will use the loan to,8127,0.617235,38
fish to sell name has,8099,0.615109,6
old entrepreneur who lives with,8097,0.614957,12
is married woman with four,8093,0.614653,22
who are in school she,8068,0.612754,26
thanks to org and kiva,8053,0.611615,6
family she is married and,8052,0.611539,20
would like to expand to,8042,0.61078,9
will repay the social interest,8041,0.610704,5
this loan she will be,8040,0.610628,34
who is amt years old,8032,0.61002,38
she started this business to,8031,0.609944,15
name is seeking this loan,8026,0.609564,13
items to sell like beverages,8023,0.609337,3
make her deserving candidate for,8018,0.608957,3
and has three children she,8015,0.608729,36
loan of amt org from,7989,0.606754,20
will use the profits from,7981,0.606147,24
married with two children she,7971,0.605387,32
free the org one clean,7965,0.604932,4
aspires to save money to,7925,0.601894,5
monthly income of org amt,7919,0.601438,3
org one cookstove please visit,7891,0.599311,4
the org one cookstove please,7891,0.599311,4
on the org one cookstove,7885,0.598856,4
her family in the future,7873,0.597944,27
to buy additional sacks of,7866,0.597413,5
in this business for two,7859,0.596881,28
one cookstove please visit www,7850,0.596197,4
to sell like beverages canned,7845,0.595818,3
sell like beverages canned goods,7836,0.595134,3
featured in the above picture,7812,0.593311,3
in school she is very,7807,0.592932,15
in the agricultural business of,7802,0.592552,5
invest back into his farm,7798,0.592248,3
and has two children she,7796,0.592096,35
to invest back into his,7785,0.591261,6
com and facebook loc clean,7777,0.590653,3
and facebook loc clean energy,7773,0.590349,3
from this year harvest to,7771,0.590197,4
of amt through org to,7768,0.58997,3
use the amt loan to,7740,0.587843,3
will use the amt loan,7740,0.587843,5
children she works hard to,7737,0.587615,16
loan of amt through org,7733,0.587311,6
this loan to buy more,7733,0.587311,33
has been running this business,7728,0.586932,31
org to buy sacks of,7708,0.585413,6
meet amt year old name,7702,0.584957,12
married and has one child,7683,0.583514,36
she is single and has,7680,0.583286,26
four children she is married,7648,0.580856,12
is married and blessed with,7640,0.580248,17
name has general store business,7633,0.579717,4
and also earns an income,7580,0.575691,6
the future she wants to,7564,0.574476,29
of fish to sell name,7561,0.574248,4
entrepreneur who works very hard,7542,0.572805,3
plans to use the profit,7539,0.572577,22
married with four children she,7495,0.569236,30
foods name has been in,7494,0.56916,4
she and her family will,7490,0.568856,13
joined the program in amt,7489,0.56878,3
the loc region of loc,7484,0.5684,6
live in rural village in,7471,0.567413,3
family name runs general store,7462,0.566729,4
old and married with one,7462,0.566729,28
family name is married and,7461,0.566653,11
is amt years old name,7461,0.566653,29
to buy more stock of,7455,0.566198,20
to further build her businesses,7450,0.565818,3
name has been raising pigs,7441,0.565134,7
she is amt year old,7421,0.563615,35
her family name is married,7418,0.563388,9
was born in amt in,7393,0.561489,6
use the anticipated profits to,7391,0.561337,9
years old and has four,7382,0.560653,29
help to take care of,7380,0.560502,9
she will use the anticipated,7378,0.56035,6
use the loan to buy,7360,0.558983,38
years old married and the,7356,0.558679,34
she will use to buy,7352,0.558375,34
dream to save enough to,7346,0.557919,5
her family in their village,7346,0.557919,3
store name would like to,7344,0.557767,9
name has applied for loan,7328,0.556552,28
of amt org to purchase,7328,0.556552,18
children name is married and,7319,0.555869,7
will help to take care,7319,0.555869,4
the org one clean cookstove,7315,0.555565,4
loan will help to take,7310,0.555185,3
and personal care products to,7301,0.554502,5
will be able to pay,7286,0.553362,34
years and also earns an,7286,0.553362,5
her family name runs general,7284,0.55321,5
will use the anticipated profits,7279,0.552831,9
and married with one child,7269,0.552071,30
her business is located in,7264,0.551691,19
org one clean cookstove is,7263,0.551616,4
business in the future she,7261,0.551464,30
one clean cookstove is biomass,7259,0.551312,4
fertilizers and other farm supplies,7255,0.551008,5
of amt and amt years,7237,0.549641,18
family name runs retail business,7234,0.549413,3
she will be using the,7232,0.549261,9
this business for six years,7229,0.549033,28
to generate greater profits and,7215,0.54797,6
family save the money they,7204,0.547135,4
in the loc region of,7200,0.546831,7
biggest business challenge to be,7189,0.545995,7
loans from org she is,7170,0.544552,7
old and has four children,7170,0.544552,29
are in school she is,7168,0.5444,24
to purchase additional sacks of,7157,0.543565,5
been running this business for,7153,0.543261,31
business to take care of,7145,0.542654,23
