masked_fivegram,training_document_frequency,training_document_pct,countries_present,interpretation
safer cleaner and saves money,10411,0.790698,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
is safer cleaner and saves,10356,0.786521,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sacks of rice to sell,10124,0.768901,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
boxes of fish to sell,9880,0.75037,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
personal care products to sell,9593,0.728573,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional boxes of,9053,0.687561,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds and fertilizer to improve,8963,0.680725,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for cooking lighting and charging,8880,0.674422,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase the org one,8844,0.671687,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
system for cooking lighting and,8804,0.668649,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
energy system for cooking lighting,8784,0.66713,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other supplies needed in,8749,0.664472,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
hybrid energy system for cooking,8685,0.659612,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and personal care products to,8384,0.636751,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as certified seeds and,8323,0.632118,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cooking lighting and charging in,8300,0.630371,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as certified seeds,8252,0.626726,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
charging in way that is,8238,0.625663,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and charging in way that,8218,0.624144,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
lighting and charging in way,8169,0.620422,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell like beverages canned,7799,0.592321,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sell like beverages canned goods,7791,0.591714,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
one hybrid energy system for,7671,0.5826,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
org one hybrid energy system,7527,0.571663,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the org one hybrid energy,7446,0.565512,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more stock of,7366,0.559436,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizer for the cultivation of,7266,0.551841,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and fertilizer for the cultivation,7239,0.54979,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizers and other farm supplies,7130,0.541512,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
products to sell in her,6952,0.527993,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase additional sacks of,6909,0.524727,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase the org one hybrid,6882,0.522677,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy quality farming inputs,6805,0.516829,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
quality farming inputs such as,6694,0.508398,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
items to sell in her,6601,0.501335,26,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy cost efficient maize,6587,0.500272,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cost efficient maize seeds and,6496,0.493361,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy cost efficient maize seeds,6484,0.492449,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
improve the quality of her,6039,0.458652,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other items to sell,5997,0.455462,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell and other supplies,5982,0.454323,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sell and other supplies needed,5872,0.445969,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
items to sell such as,5673,0.430855,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to improve the quality of,5653,0.429336,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for the coming harvesting season,5644,0.428653,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizer for the coming harvesting,5601,0.425387,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt bags of,5436,0.412855,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy fertilizers and other,5239,0.397893,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sacks of charcoal to sell,5110,0.388096,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy fertilizers and other farm,4894,0.371691,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase ingredients for her food,4811,0.365388,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase ingredients for her,4792,0.363945,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy items to sell such,4646,0.352856,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay school fees for,4502,0.34192,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
items such as canned goods,4364,0.331439,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
personal care products and other,4357,0.330907,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional stocks of,4295,0.326198,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy sacks of feed,4227,0.321034,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs such as fertilizer,4107,0.31192,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to improve the,4107,0.31192,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy additional items to sell,4060,0.30835,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional items to,4051,0.307667,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell in her food,3935,0.298857,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sell in her food stall,3927,0.298249,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
feed vitamins and other supplies,3847,0.292173,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
order to improve the quality,3821,0.290199,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
additional sacks of charcoal to,3817,0.289895,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs such as seeds,3730,0.283287,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to improve her production and,3699,0.280933,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizers in order to improve,3692,0.280401,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy feed vitamins and,3615,0.274553,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
vegetables to sell in her,3562,0.270528,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as high quality,3557,0.270148,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to increase her income from,3524,0.267642,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell to her customers,3512,0.266731,24,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
pay school fees for her,3491,0.265136,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy seeds and fertilizer,3465,0.263161,22,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
organic fertilizers in order to,3449,0.261946,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
care products and other groceries,3344,0.253971,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase items to sell,3343,0.253895,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs such as high,3303,0.250857,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
school fees for her children,3291,0.249946,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as high quality seeds,3235,0.245693,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
income to support her family,3221,0.24463,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
of maize as well as,3216,0.24425,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy feed and vitamins,3197,0.242807,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
home care products and other,3175,0.241136,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more income to support her,3141,0.238554,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs such as fertilizers,3089,0.234605,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and vitamins for her pigs,3079,0.233845,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy items to sell in,3079,0.233845,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as fertilizer and,3055,0.232022,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as seeds and,3037,0.230655,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to expand her,2982,0.226478,24,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy items such as,2968,0.225415,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for lighting charging and cooking,2930,0.222529,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to increase her stock of,2903,0.220478,22,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell for her business,2887,0.219263,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt sacks of,2705,0.20544,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional stock of,2700,0.205061,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
feed and other supplies for,2699,0.204985,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
that will be used to,2697,0.204833,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
solar power for lighting charging,2675,0.203162,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
power for lighting charging and,2673,0.20301,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy farming inputs such as,2661,0.202099,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy farming inputs such,2644,0.200807,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and cooking in way that,2632,0.199896,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cooking in way that is,2630,0.199744,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
charging and cooking in way,2628,0.199592,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
lighting charging and cooking in,2625,0.199364,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
she will use to improve,2584,0.196251,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
quality farm inputs such as,2553,0.193896,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and vitamins to raise her,2549,0.193592,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other materials needed for,2548,0.193516,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
additional items to sell like,2509,0.190554,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
will use to improve her,2503,0.190099,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
high quality seeds and fertilizers,2495,0.189491,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to increase her,2485,0.188732,30,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
other materials needed for her,2465,0.187213,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase additional stock of,2460,0.186833,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
which she will use to,2459,0.186757,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
access to solar power for,2458,0.186681,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to solar power for lighting,2458,0.186681,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy quality farm inputs,2453,0.186301,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fruits and vegetables to sell,2439,0.185238,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
have access to solar power,2427,0.184327,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to have access to solar,2426,0.184251,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
quality seeds and fertilizers to,2389,0.181441,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for the maintenance of her,2360,0.179238,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
energy system in order to,2334,0.177263,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to have access,2329,0.176884,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more fresh fish,2318,0.176048,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
system in order to have,2306,0.175137,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy quality farm inputs such,2287,0.173694,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
of fish to sell and,2273,0.172631,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
order to have access to,2269,0.172327,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more fresh fish to sell,2162,0.1642,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase fertilizers and other,2159,0.163973,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
stocks of groceries to sell,2147,0.163061,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy farm inputs to,2129,0.161694,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
feed and vitamins for her,2083,0.1582,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more income for her family,2059,0.156378,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
materials needed for her business,2058,0.156302,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as fertilizer and seeds,2046,0.15539,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more fresh fish to,2028,0.154023,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase fertilizers and other farm,2026,0.153871,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy feed and vitamins for,2023,0.153644,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase solar light and,2009,0.15258,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and vegetables to sell in,1992,0.151289,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell at her store,1971,0.149694,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase farming inputs such as,1955,0.148479,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the org one energy system,1947,0.147871,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy ingredients such as,1940,0.14734,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy new sewing machine,1938,0.147188,25,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase farming inputs such,1936,0.147036,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and fertilizer to improve her,1929,0.146504,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase the org one energy,1927,0.146353,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase additional stocks of,1895,0.143922,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as fertilizers and,1894,0.143846,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy fruits and vegetables,1887,0.143315,23,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy additional items such as,1863,0.141492,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more fish to,1859,0.141188,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional items such,1831,0.139061,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase more sacks of,1817,0.137998,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more stocks of,1767,0.134201,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy different varieties of,1736,0.131846,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
boost the quality of her,1734,0.131694,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to boost the quality of,1733,0.131619,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
one energy system in order,1708,0.12972,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
org one energy system in,1707,0.129644,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more fish to sell,1691,0.128429,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
will be used to prepare,1666,0.12653,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other personal care products,1665,0.126454,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase farm inputs such as,1659,0.125998,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to add more stock of,1659,0.125998,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizer and other farm supplies,1644,0.124859,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase farm inputs such,1625,0.123416,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
variety of fish to sell,1607,0.122049,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy variety of fish,1603,0.121745,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase more stock of,1589,0.120682,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay tuition fees for,1587,0.12053,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase the org amt,1582,0.12015,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the quality and quantity of,1569,0.119163,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
certified seeds and fertilizers to,1548,0.117568,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy dairy cows to,1519,0.115366,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
of fresh fish to sell,1502,0.114074,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds and fertilizer for crop,1502,0.114074,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy farming inputs to,1498,0.113771,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy fertilizer and other,1493,0.113391,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for her food vending business,1491,0.113239,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to fulfill her dream of,1486,0.112859,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other supplies for her,1485,0.112783,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
use the profits to support,1464,0.111188,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
boxes of fresh fish to,1451,0.110201,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the profits to support her,1444,0.109669,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy livestock to increase,1441,0.109442,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase more animals to,1435,0.108986,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more clothes to,1430,0.108606,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
ingredients for her food vending,1429,0.10853,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fresh fish to sell and,1427,0.108378,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt kg of,1420,0.107847,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
that she will use to,1417,0.107619,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
pay school fees for his,1411,0.107163,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for her son,1392,0.10572,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy fertilizer and other farm,1378,0.104657,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy cattle to increase,1373,0.104277,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy variety of fish to,1371,0.104125,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and use the profits to,1365,0.10367,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt boxes of,1364,0.103594,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
profits to support her family,1351,0.102606,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
of dried fish to sell,1346,0.102227,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy sacks of rice,1345,0.102151,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
items to increase her business,1337,0.101543,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more farm inputs,1335,0.101391,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
school fees for his children,1333,0.101239,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
pay tuition fees for her,1321,0.100328,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for her treatment,1320,0.100252,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to take care of her,1320,0.100252,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other merchandise to sell,1309,0.099416,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy fruits and vegetables to,1306,0.099189,15,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to get good,1299,0.098657,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy amt bags of charcoal,1298,0.098581,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to get good harvest and,1296,0.098429,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more clothes to sell,1293,0.098201,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
dairy cows to increase her,1280,0.097214,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for farm inputs,1272,0.096606,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell at the market,1264,0.095999,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the quality of her produce,1261,0.095771,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
merchandise to sell at her,1257,0.095467,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy farming inputs to improve,1254,0.095239,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other ingredients needed for,1250,0.094935,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farming inputs such as fertilizers,1250,0.094935,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy seeds and fertilizers,1247,0.094708,22,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
other ingredients needed for her,1241,0.094252,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
order to get good harvest,1240,0.094176,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cows in order to increase,1234,0.09372,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy greater variety of,1217,0.092429,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt pieces of,1204,0.091442,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy vegetables to sell,1203,0.091366,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more groceries to,1201,0.091214,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy spare parts and,1186,0.090075,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
tuition fees for her children,1177,0.089391,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cattle to increase her income,1160,0.0881,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more groceries to sell,1146,0.087037,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy head of cattle,1145,0.086961,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more sacks of rice to,1134,0.086125,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to expand her dairy business,1133,0.08605,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as fertilizers to,1126,0.085518,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to use to improve her,1125,0.085442,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy high quality seeds,1121,0.085138,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to improve her,1100,0.083543,23,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds and fertilizers to improve,1098,0.083391,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
which she plans to use,1098,0.083391,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
